Month,Revenue,Active_Users,CAC,Support_Cost,Gross_Margin
2025-01,"$5,000,000.00 ",1000000,$120.00 ,"$900,000.00 ",68.00%
2025-02,"$5,250,000.00 ",1030000,$121.00 ,"$920,000.00 ",67.90%
2025-03,"$5,520,000.00 ",1060000,$123.00 ,"$950,000.00 ",67.70%
2025-04,"$5,720,000.00 ",1090000,$125.00 ,"$990,000.00 ",67.40%
2025-05,"$5,860,000.00 ",1120000,$128.00 ,"$1,040,000.00 ",67.10%
2025-06,"$5,950,000.00 ",1150000,$131.00 ,"$1,100,000.00 ",66.80%
2025-07,"$6,000,000.00 ",1180000,$134.00 ,"$1,165,000.00 ",66.50%
2025-08,"$6,040,000.00 ",1210000,$137.00 ,"$1,220,000.00 ",66.20%
2025-09,"$6,070,000.00 ",1235000,$140.00 ,"$1,270,000.00 ",65.80%
2025-10,"$6,090,000.00 ",1255000,$143.00 ,"$1,305,000.00 ",65.30%
2025-11,"$6,105,000.00 ",1272000,$146.00 ,"$1,320,000.00 ",64.80%
2025-12,"$6,120,000.00 ",1290000,$148.00 ,"$1,330,000.00 ",64.50%
